ISO,Question,Answer,Citation,Pincite ,Comment,
AU,1. Is the prohibition of non-intervention a norm of customary international law?  , Yes,26. The prohibition on intervention in the internal and external affairs of States is a principle of general international law that is also reflected in several multilateral treaties… ,"Common African Position on the Application of International Law to the Use of Information and Communication Technologies in Cyberspace, pg. 4, §4, ¶26 (2024).",  ,
AU,2. Is the scope of the principle of non-intervention uncertain?    ,No,"30. To constitute a violation of the prohibition on intervention, ICTs in cyberspace must be employed in a manner that amounts to coercion, which the International Court of Justice described, in the Case Concerning Military and Paramilitary Activities in and against Nicaragua, as the element that “defines, and indeed forms the very essence of prohibited intervention.”
.... 32. “While the definition of coercion in this context requires further study and deliberation between States, the African Union is of the view that it is not necessary, in order to constitute coercion, that the conduct of a State must rise to the level of completely depriving a foreign State of its freedom of choice or to compel that State to either act or refrain from acting involuntarily. Coercion may also occur through threats of intervention. Furthermore, there is no requirement that, in order to constitute a violation of the prohibition on intervention, an act of coercion must actually succeed in compelling the State subjected to such acts to change its conduct.”","Common African Position on the Application of International Law to the Use of Information and Communication Technologies in Cyberspace, pg. 5, §4, ¶30;32 (2024).",,
AU,3. Does the prohibition of non-intervention apply to cyber-operations? ,Yes,"29. The prohibition on intervention applies to the use of any instrument, including armed, political, economic, or any other means, and instruments of information, that may be used by a State for the purposes of intervening in the internal or external affairs of a foreign State. The prohibition on intervention is especially pertinent in the context of cyberspace given the increasing connectivity between States…","Common African Position on the Application of International Law to the Use of Information and Communication Technologies in Cyberspace, pg. 5, §4, ¶29 (2024).",,
AU,4. Is coercion a constituent element of prohibited intervention?, Yes,"30. To constitute a violation of the prohibition on intervention, ICTs in cyberspace must be employed in a manner that amounts to coercion, which the International Court of Justice  described in the  Case Concerning Military and Paramilitary Activities in and against Nicaragua, as the element that “defines, and indeed forms the very essence of prohibited intervention.","Common African Position on the Application of International Law to the Use of Information and Communication Technologies in Cyberspace, pg. 5, §4, ¶30 (2024).

", ,
AU,4.1 Is coercion limited to the employment of physical force? ,No,"29. The prohibition on intervention applies to the use of any instrument, including armed, political, economic, or any other means, and instruments of information, that may be used by a State for the purposes of intervening in the internal or external affairs of a foreign State.","Common African Position on the Application of International Law to the Use of Information and Communication Technologies in Cyberspace, pg. 5, §4, ¶29 (2024).", ,
AU,4.2 Can dictatorial demands or acts of compulsion or imposition constitute coercion?     ,Yes,32. Coercion may also occur through threats of intervention,"Common African Position on the Application of International Law to the Use of Information and Communication Technologies in Cyberspace, pg. 5, §4, ¶32 (2024).",,
AU, 4.3 Does the deprivation of a State’s ability to control matters within its domaine réservé amount to coercion?,Ambiguous,"31. “Coercion, in the context of the prohibition on intervention, should be defined as a policy that is designed to impose restraints on the will of a foreign State. Assessing whether the use by one of more States of ICTs in cyberspace to influence the conduct of a foreign State amounts to coercion is a determination that should be undertaken on a case-by-case basis.”
32. “...it is not necessary, in order to constitute coercion, that the conduct of a State must rise to the level of completely depriving a foreign State of its freedom of choice or to compel that State to either act or refrain from acting involuntarily.”","Common African Position on the Application of International Law to the Use of Information and Communication Technologies in Cyberspace, pg. 5, §4, ¶¶31-32 (2024).",,
AU, 4.4 Does coercion extend to any affirmative acts designed to deprive another state of its freedom of choice with regard to a matter of protected sovereign prerogative?,Yes,"31.” Assessing whether the use by one of more States of ICTs in cyberspace to influence the conduct of a foreign State amounts to coercion is a determination that should be undertaken on a case-by-case basis.” 
32. “...it is not necessary, in order to constitute coercion, that the conduct of a State must rise to the level of completely depriving a foreign State of its freedom of choice or to compel that State to either act or refrain from acting involuntarily.”","Common African Position on the Application of International Law to the Use of Information and Communication Technologies in Cyberspace, pg. 5, §4, ¶¶31-32 (2024).",,
AU,4.5 Must there be a causal nexus between the responsible state’s actions/efforts and the effects on the target state’s internal or external affairs? ,Silent," 
 ",,,
AU,4.6 Can attempts to coerce an outcome amount to prohibited intervention?      ,Yes,"32. “...Furthermore, there is no requirement that, in order to constitute a violation of the prohibition on intervention, an act of coercion must actually succeed in compelling the State subjected to such acts to change its conduct. An unsuccessful attempt of intervention is unlawful under international law.”","Common African Position on the Application of International Law to the Use of Information and Communication Technologies in Cyberspace, pg. 5, §4, ¶32 (2024).", ,
AU,4.7 Is intent a constituent element of coercion?    ,Silent,,,,
AU,"4.8 Must the action(s) constituting coercion be designed/intended to influence outcomes in, or conduct with respect to, a matter of protected sovereign prerogative?      ",Yes," 31. “The African Union is of the view that coercion, in the context of the prohibition on intervention, should be defined as a policy that is designed to impose restraints on the will of a foreign State.”","Common African Position on the Application of International Law to the Use of Information and Communication Technologies in Cyberspace, pg. 5, §4, ¶31 (2024).", ,
AU,4.9  Can coercion be indirect?    ,Yes," 29. “...this rule proscribes both direct intervention by de jure and de facto organs of a State and indirect intervention by persons or groups acting under the direction, instruction, or control of a State.”","Common African Position on the Application of International Law to the Use of Information and Communication Technologies in Cyberspace, pg. 5, §4, ¶29 (2024).", ,
AU, 4.10 Must the target state have knowledge of the coercive cyber operation constituting the purported intervention? ,Silent,,,,
AU,5. Does intervention include forms of persuasion or propaganda?   ,Ambiguous,"29. “The prohibition on intervention applies to the use of any instrument, including armed, political, economic, or any other means, and instruments of information, that may be used by a State for the purposes of intervening in the internal or external affairs of a foreign State”","Common African Position on the Application of International Law to the Use of Information and Communication Technologies in Cyberspace, pg. 5, §4, ¶29 (2024).","This is ambiguous because there is no explicit use of the language “persuasion or propaganda,” but the same could be inferred from the usage of words like “organizing, funding, or the provision of any form assistance” in para 29.",
AU,6. Is there a de minimis exception to the prohibition?  ,Silent,,,,
AU,"7. Must the intervention be directed at matters over which the victim state is permitted by the principle of sovereignty, to decide freely? ",Yes,"28. The prohibition on intervention protects against acts that impinge on matters within the domestic jurisdiction of States in relation to which each State is permitted, by the principle of State sovereignty, to decide freely.","Common African Position on the Application of International Law to the Use of Information and Communication Technologies in Cyberspace, pg. 5, §4, ¶28 (2024).",,
AU,7.1 Does the zone of protected sovereign prerogatives include only internal affairs? ,No,"28. “The prohibition on intervention protects against acts that impinge on matters within the domestic jurisdiction of States in relation to which each State is permitted... to decide freely.” 
29. “The prohibition on intervention applies to the use of any instrument, including armed, political, economic, or any other means, and instruments of information, that may be used by a State for the purposes of intervening in the internal or external affairs of a foreign State.”","Common African Position on the Application of International Law to the Use of Information and Communication Technologies in Cyberspace, pg. 5, §4, ¶28-29 (2024).
",,
AU,7.2 Does the prohibition proscribe intervention in a state’s external (foreign) affairs? ,Yes,"28. “The prohibition on intervention protects against acts that impinge on matters within the domestic jurisdiction of States in relation to which each State is permitted... to decide freely.” 
29. “The prohibition on intervention applies to the use of any instrument, including armed, political, economic, or any other means, and instruments of information, that may be used by a State for the purposes of intervening in the internal or external affairs of a foreign State.”","Common African Position on the Application of International Law to the Use of Information and Communication Technologies in Cyberspace, pg. 5, §4, ¶28-29 (2024).",,
AU,7.3 Is the zone of protected sovereign prerogatives referred to as domaine réservé? ,No,"29. “The prohibition on intervention applies to the use of any instrument, including armed, political, economic, or any other means, and instruments of information, that may be used by a State for the purposes of intervening in the internal or external affairs of a foreign State.”","Common African Position on the Application of International Law to the Use of Information and Communication Technologies in Cyberspace, pg. 5, §4, ¶29 (2024).",,
AU,"7.4 Is the domaine réservé limited to matters involving the state’s choice of a political, economic, social, and cultural system, and the formulation of foreign policy? ",Silent,,,,
AU, 7.5 Does international law regulation over a matter of sovereign prerogative remove it from the domaine réservé?  ,Silent,,,,
AU,7.6 Is critical infrastructure part of the domaine réservé?  ,Silent,,,,
AU,7.7 Are elections part of the domaine réservé? ,Silent,,,,
AU,7.8 Is the operation of legislatures a part of the domaine réservé?,Silent,,,,
AU, 7.9 Is financial system stability part of the domaine réservé?  ,Silent,,,,
AU,7.10 Are medical services part of the domaine réservé?  ,Silent,,,,
AUS,1. Is the prohibition of non-intervention a norm of customary international law? , Yes,Harmful conduct in cyberspace that does not constitute a use of force may still constitute a breach of the duty not to intervene in the internal or external affairs of another State. This obligation is encapsulated in Article 2(7) of the Charter and in customary international law ,"Australia, Annex B: Australia’s position on how international law applies to State conduct in cyberspace, pg. 6, §1, ¶ 8 (2020).

Australia, UNGA Official Compendium of Voluntary National Contributions, pg. 5, §1, ¶7 (2021).",,
AUS,2. Is the scope of the principle of non-intervention uncertain?    ,Silent,,,,
AUS,3. Does the prohibition of non-intervention apply to cyber-operations? ,Yes,“Harmful conduct in cyberspace that does not constitute a use of force may still constitute a breach of the duty not to intervene in the internal or external affairs of another State. This obligation is encapsulated in Article 2(7) of the Charter and in customary international law” ,"Australia, Annex B: Australia’s position on how international law applies to State conduct in cyberspace, pg. 6, §1, ¶ 8 (2020).

Australia, UNGA Official Compendium of Voluntary National Contributions, pg. 5, §1, ¶7 (2021).", ,
