ISO,Question,Answer,Citation,Pincite ,Comment,,
AU,1. Is sovereignty a foundational principle of the international legal order?,Yes,"Sovereignty is an attribute of States. By virtue of sovereignty, States enjoy, under international law, territorial sovereignty, and supremacy in their internal and external affairs. States are also under an obligation to uphold principles of international law including the duty not to infringe on the independence of other States or to violate their territorial sovereignty.¶... The obligation to respect the territorial sovereignty of States is a primary rule that is firmly established in international law, which applies to State conductin cyberspace.","Common African Position on the Application of International Law to the Use of Information and Communication Technologies in Cyberspace, pg. 2 ¶¶ 12-13 (2024) ¶",This can be reasonably inferred from the AU statement,,
AU,2. Does sovereignty confer on states authority over cyber infrastructure located in their respective territories and over the actions they take with respect to that infrastructure?,Yes,"By virtue of territorial sovereignty, States are entitled to exercise jurisdiction, including legislative, adjudicative, and enforcement authority, over the components of cyberspace that are located on their territory.","Common African Position on the Application of International Law to the Use of Information and Communication Technologies in Cyberspace, pg. 2 § II, ¶ 14 (2024) ¶",,,
AU,"2(a) Does sovereignty encompass the right of a State to protect cyber infrastructure and safeguard cyber activity that is located in, or takes place on, its territory?",Yes,"By virtue of territorial sovereignty, States are entitled, within the limits established by the applicable rules of international law, to exercise exclusive control over their land territory and its appurtenances, including the airspace and maritime zones that are subject to the sovereignty of the State. . . ¶¶By virtue of territorial sovereignty, States are entitled to exercise jurisdiction, including legislative, adjudicative, and enforcement authority, over the components of cyberspace that are located on their territory.¶","Common African Position on the Application of International Law to the Use of Information and Communication Technologies in Cyberspace, pg. 2 § II, ¶ 13, 14; pg. 10 § X, ¶ 66 (2024) ",,,
AU,2(b) Is the exercise of such sovereign authority subject to international human rights law and other fundamental freedoms?,Yes,"As a corollary of territorial sovereignty, States shall protect, in accordance with the applicable rules of international law, especially international human rights law and, when applicable, international humanitarian law, natural and legal persons located on their territory against unlawful uses of ICTs in cyberspace that are attributable to foreign States or non-State actors.¶...¶The African Union further affirms that IHRL requires States to protect the freedom of expression online, including the right to seek, receive, and impart information and ideas and to disseminate opinions through ICTs. Any restrictions imposed by States on these rights must be provided by law and must be limited to what is strictly necessary in a democratic society to respect and protect the rights or reputations of others and to protect national security, public order, public health, or morals...¶The African Union is of the view that responsible behavior in relation to the use of ICTs in cyberspace requires States to ensure that their conduct does not infringe on the human rights of individuals or peoples in other States.","Common African Position on the Application of International Law to the Use of Information and Communication Technologies in Cyberspace, pg. 3 § II, ¶ 18 (2024) ",,,
AU,"3. Is sovereignty a stand-alone, primary rule of international law, the breach of which can incur international responsibility?",Yes,"13. ...The obligation to respect the territorial sovereignty of States is a primary rule that is firmly established in international law, which applies to State conduct in cyberspace. ","Common African Position on the Application of International Law to the Use of Information and Communication Technologies in Cyberspace, pg. 2 § II, ¶ 13 (2024) ",,,
AU,3(a) Can violations of sovereignty not amounting to prohibited interventions constitute internationally wrongful acts?  ,Yes,"The African Union affirms that by virtue of territorial sovereignty, any unauthorized access by a State into the ICT infrastructure located on the territory of a foreign State is unlawful.¶ ","Common African Position on the Application of International Law to the Use of Information and Communication Technologies in Cyberspace, pg. 3 § II, ¶ 16",,,
AU,4. Does the State indicate how to identify a violation of any stand-alone sovereignty rule?,Yes,"16. The African Union affirms that by virtue of territorial sovereignty, any unauthorized access by a State into the ICT infrastructure located on the territory of a foreign State is unlawful. Therefore, the African Union emphasizes that the obligation to respect the territorial sovereignty of States, as it applies in cyberspace, does not include a de minimis threshold of harmful effects below which an unauthorized access by a State into the ICT infrastructure located on the territory of a foreign State would not be unlawful. The African Union further affirms that cyber operations that are attributable to a State against ICT infrastructure located on the territory of a foreign State that causes effects, such as loss or impairment of functionality, on the territory of a third State, may constitute a breach of the territorial sovereignty of that latter State.¶","Common African Position on the Application of International Law to the Use of Information and Communication Technologies in Cyberspace, pg. 2 § II, ¶ 16;19 (2024) ¶",,,
AU,4(a) Is there a de minimis threshold below which a violation of sovereignty would not occur?,No ,"Therefore, the African Union emphasizes that the obligation to respect the territorial sovereignty of States, as it applies in cyberspace, does not include a de minimis threshold of harmful effects below which an unauthorized access by a State into the ICT infrastructure located on the territory of a foreign State would not be unlawful. The African Union further affirms that cyber operations that are attributable to a State against ICT infrastructure located on the territory of a foreign State that causes effects, such as loss or impairment of functionality, on the territory of a third State, may constitute a breach of the territorial sovereignty of that latter State.¶","Common African Position on the Application of International Law to the Use of Information and Communication Technologies in Cyberspace, pg. 2 § II, ¶ 16;19 (2024) ¶",,,
AU,"5. Is it a violation of territorial sovereignty for an organ of a State, or others whose conduct is attributable to the State, to conduct non-consensual cyber operations while physically present on another State’s territory against that State or entities or persons on its territory?",Yes,"16. The African Union affirms that by virtue of territorial sovereignty, any unauthorized access by a State into the ICT infrastructure located on the territory of a foreign State is unlawful. Therefore, the African Union emphasizes that the obligation to respect the territorial sovereignty of States, as it applies in cyberspace, does not include a de minimis threshold of harmful effects below which an unauthorized access by a State into the ICT infrastructure located on the territory of a foreign State would not be unlawful.","Common African Position on the Application of International Law to the Use of Information and Communication Technologies in Cyberspace, pg. 2 § II, ¶ 16;19 (2024) ",This can be reasonable inferred from the Statement. ,,
AU,6. Can state cyber operations that cause physical effects in another state’s territory constitute a violation of sovereignty as a rule?,Yes,"16. ... The African Union further affirms that cyber operations that are attributable to a State against ICT infrastructure located on the territory of a foreign State that causes effects, such as loss or impairment of functionality, on the territory of a third State, may constitute a breach of the territorial sovereignty of that latter State","Common African Position on the Application of International Law to the Use of Information and Communication Technologies in Cyberspace, pg. 2 § II, ¶ 16 (2024) ",,,
